marker_id,cam,u_meas,v_meas,u_proj,v_proj,err_px
22,5,1245.385586,541.327887,1244.0686368174681,537.8329737467915,3.734805724107267
23,1,1331.539151,418.578169,1329.938345314643,415.3981605560545,3.5602011945725898
23,2,700.852362,422.508834,699.9879143913565,422.2409880346742,0.9049923365590784
23,3,1156.906405,524.155284,1113.328572540616,473.4553564721647,66.85439501772409
23,4,860.04072,420.607797,858.1664900651743,429.6865796551284,9.27022288554363
23,5,1329.241593,489.652783,1326.8748575048912,486.2432477226202,4.1504659631787115
24,1,1442.069067,397.760875,1440.0324418096745,392.36382155803307,5.76853777150804
24,2,655.252576,368.483001,653.1513287658825,368.14520945220124,2.1282253331475074
24,3,1058.767735,470.6251,1046.0372586749572,402.5076134572597,69.2968758340726
24,4,756.651834,355.989743,755.1219046250178,366.23185618576997,10.355750402677588
24,5,1423.61828,437.358815,1421.392884788311,433.11807828865517,4.789178604223868
25,1,1556.564182,376.447932,1554.15124137086,369.1252356882946,7.710004134448892
25,2,619.070138,317.926716,614.9482647004604,314.9689237436924,5.073300161525122
25,3,943.900883,411.518856,992.4574489381589,341.6420960082815,85.09113750941991
25,4,663.249373,296.071183,665.0627933973323,305.2740055276626,9.37978869767943
25,5,1520.160989,379.804508,1518.564843242876,374.4369860326529,5.599819045999513
